# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60335-2-45:2002+AMD1:2008+AMD2:2011 CSV
IEC 60335-2-47:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-47:2021 RLV
IEC 60335-2-48:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-48:2021 RLV
IEC 60335-2-49:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-49:2021 RLV
IEC 60335-2-5:1992+AMD1:1999 CSV
IEC 60335-2-5:2002+AMD1:2005+AMD2:2008 CSV
IEC 60335-2-5:2012+AMD1:2018 CSV
IEC 60335-2-50:2002+AMD1:2007+AMD2:2017 CSV
IEC 60335-2-50:2021 RLV
IEC 60335-2-51:2002+AMD1:2008+AMD2:2011 CSV
IEC 60335-2-51:2019 RLV
IEC 60335-2-52:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-52:2021 RLV
IEC 60335-2-53:2002+AMD1:2007 CSV
IEC 60335-2-53:2011+AMD1:2017+AMD2:2021 CSV
IEC 60335-2-54:2002+AMD1:2004+AMD2:2007 CSV
IEC 60335-2-54:2008+AMD1:2015+AMD2:2019 CSV
IEC 60335-2-55:2002+AMD1:2008 CSV
IEC 60335-2-55:2021 RLV
IEC 60335-2-56:2002+AMD1:2008+AMD2:2014 CSV
IEC 60335-2-58:2002+AMD1:2008+AMD2:2015 CSV
IEC 60335-2-58:2017 RLV
IEC 60335-2-59:2002+AMD1:2006+AMD2:2009 CSV
IEC 60335-2-59:2021 CMV
IEC 60335-2-6:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-6:2014+AMD1:2018 CSV
IEC 60335-2-60:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-60:2017 RLV
IEC 60335-2-61:2002+AMD1:2005+AMD2:2008 CSV
IEC 60335-2-62:2002+AMD1:2008 CSV
IEC 60335-2-62:2019 RLV
IEC 60335-2-64:2002+AMD1:2007+AMD2:2017 CSV
IEC 60335-2-64:2021 CMV
IEC 60335-2-65:2002+AMD1:2008+AMD2:2015 CSV
